1885747511;;;;
#poses;f;isConstant;;
0;984.999;0;;
2;984.999;0;;
3;1206.72;0;;
4;1843.1;0;;
5;1985.45;0;;
6;2128.61;0;;
7;2125.05;0;;
8;2127.35;0;;
9;2134.52;0;;
10;2145.68;0;;
11;2149.62;0;;
12;2200.24;0;;
13;2218.57;0;;
14;2232.35;0;;
15;2242.78;0;;
16;2289.29;0;;
17;2314.64;0;;
18;2420.76;0;;
19;2431.62;0;;
20;2449.39;0;;
20;2466.17;0;;
21;2529.8;0;;
21;2535.32;0;;
22;2603.48;0;;
22;2619.28;0;;
23;2676.65;0;;
23;2682.18;0;;
24;2694.38;0;;
24;2710.23;0;;
25;2744.22;0;;
25;2759.01;0;;
26;2806.08;0;;
26;2820.36;0;;
27;2828.07;0;;
27;2827.24;0;;
28;2826.95;0;;
28;2838.05;0;;
29;2831.39;0;;
29;2837.75;0;;
39;2824.95;0;;
39;2615.81;0;;
61;2694.14;0;;
61;2733.31;0;;
61;2752.68;0;;
83;3676.87;0;;
83;3723.94;0;;
83;3755.14;0;;
93;3871.28;0;;
93;3917.17;0;;
93;3938.94;0;;
103;4006.69;0;;
103;4059.61;0;;
103;4084.46;0;;
113;4286.23;0;;
113;4310.65;0;;
123;4660.1;0;;
123;4731.55;0;;
133;4749.67;0;;
133;4855.42;0;;
133;4910.14;0;;
143;5096.43;0;;
143;5164.14;0;;
143;5264.97;0;;
153;5354.69;0;;
153;5416.11;0;;
153;5473.83;0;;
163;5661.98;0;;
163;5868.34;0;;
163;6176.6;0;;
173;6865.76;0;;
173;6913.45;0;;
173;6961.97;0;;
183;7005.58;0;;
183;7026.4;0;;
183;7033.7;0;;
193;7076.62;0;;
193;7089.22;0;;
193;7095.05;0;;
203;7123.36;0;;
203;7135.22;0;;
203;7140.67;0;;
213;7158.56;0;;
213;7173.9;0;;
213;7178.75;0;;
223;7178.75;1;;
223;7178.75;1;;
223;7178.75;1;;
233;7178.75;1;;
233;7178.75;1;;
243;7178.75;1;;
243;7178.75;1;;
266;7178.75;1;;
266;7178.75;1;;
266;7178.75;1;;
296;7178.75;1;;
296;7178.75;1;;
296;7178.75;1;;
326;7178.75;1;;
326;7178.75;1;;
326;7178.75;1;;
326;7178.75;1;;
356;7178.75;1;;
356;7178.75;1;;
356;7178.75;1;;
356;7178.75;1;;
370;7178.75;1;;
370;7178.75;1;;
370;7178.75;1;;
384;7178.75;1;;
384;7178.75;1;;
384;7178.75;1;;
394;7178.75;1;;
394;7178.75;1;;
394;7178.75;1;;
404;7178.75;1;;
404;7178.75;1;;
404;7178.75;1;;
404;7178.75;1;;
414;7178.75;1;;
414;7178.75;1;;
414;7178.75;1;;
424;7178.75;1;;
424;7178.75;1;;
424;7178.75;1;;
434;7178.75;1;;
434;7178.75;1;;
434;7178.75;1;;
444;7178.75;1;;
444;7178.75;1;;
444;7178.75;1;;
454;7178.75;1;;
454;7178.75;1;;
454;7178.75;1;;
464;7178.75;1;;
464;7178.75;1;;
464;7178.75;1;;
471;7178.75;1;;
471;7178.75;1;;
471;7178.75;1;;
